id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
146;143;;11,52;35513;18573;134461;1461;51870;23615;808;537;167;2;940;4659;3158;
147;144;;11,09;3073;3018;98705;1069;8872;7821;0;481;636;331;26;1311;0;
148;145;;11,76;3192;16465;132483;1192;4183;925;0;22;313;170;681;2414;5507;
149;146;;11,28;3256;11610;143265;977;1926;1616;0;367;951;540;34;2949;0;
150;147;;13,42;4607;10671;150410;1443;1186;593;0;65;198;957;1122;3247;0;
151;148;;14,04;6289;4221;95245;807;740;1238;0;452;517;560;28;2496;0;
152;149;;14,3;3035;3834;143369;905;469;781;0;381;1053;939;44;4139;0;
153;150;;13,22;54015;47850;154804;4867;9621;11332;0;655;504;412;29;10078;0;
154;151;;13,04;23909;13019;265144;85335;24582;25885;39;281;2487;1021;649;3055;12160;
155;152;;11,81;15748;372;11428;112450;10100;175010;0;22;7;502;10;459;0;
156;153;;15,05;8721;16003;454696;9339;7554;21047;0;1453;3960;1267;1416;6928;0;30,41
157;154;;15;6726;15752;1105277;149;3287;3600;0;2458;6591;8931;3559;8538;0;
158;155;;2,28;52014;55983;167172;53810;108528;32590;0;409;624;372;147;2698;46732;
159;156;;4,06;8219;9021;213385;7437;93105;22691;1025;420;345;1;30;0;2961;76,23
160;157;;3,18;67330;15285;225185;16746;166066;10920;199;328;1667;118;43;619;0;
161;158;;3,99;88283;5563;108987;11968;149759;5160;258;73;298;49;10;1317;0;
162;159;;1,71;52427;18966;231083;10360;126211;15134;247;871;25;22;557;1097;11168;
163;160;;2,59;59903;39052;340907;19378;266819;14433;2119;3110;1607;2;132;3423;13653;64,33
164;161;A;4,22;102947;18795;599774;34697;233063;21697;1349;2639;2058;514;125;1902;11799;80,48
165;161;B;4,22;10767;384;5132;760;4792;90;1349;2595;2058;514;125;0;0;
166;162;;4,92;51200;26136;341080;21560;124747;8371;1119;935;785;578;66;3410;3179;
167;163;;1,91;64174;8597;228715;23783;106117;11542;0;330;1276;246;33;1553;5919;49,57
168;164;;2,7;66718;23134;391312;41777;70356;16565;310;1797;206;366;48;3365;10510;50,16
169;165;;3,49;40481;55224;556698;29693;78845;32685;87;2457;962;530;1427;1304;36247;65,17
170;166;;4,17;16201;21116;378509;19525;41799;6229;75;2260;840;660;68;24;4087;78,66
171;167;;5,17;7303;1236;630595;29507;25446;5723;994;2163;2390;1104;320;806;29;75,76
172;168;;5,14;16766;31302;337606;10735;20173;8547;1768;1206;133;1;58;3169;0;71,74
173;169;;5,4;13462;27415;343982;10733;11326;14091;1663;536;986;205;65;1929;2229;
174;170;;7,11;27275;383;173494;10612;26568;22767;360;240;46;0;13;0;0;85,36
175;171;;6,88;39553;10881;297812;14987;38403;52327;799;263;111;152;26;634;0;88,88
176;172;;7,77;15045;16761;327030;12746;30798;27378;2934;183;48;73;62;2100;983;88,55
177;173;;8,62;20094;2092;248056;9239;11345;32340;974;520;168;1;32;504;0;
178;174;;9,45;23092;12711;205802;6521;16104;33018;947;80;15;0;21;1804;0;
179;175;;10,3;50019;6554;245312;9250;9404;32592;670;906;269;1;35;858;0;
180;176;A;11,52;5825;8557;320897;12324;2825;37786;1380;770;222;13;179;1801;0;69,94
181;176;B;11,52;11966;1991;106661;1908;2287;9819;1295;770;222;13;179;224;0;75,84
182;177;;7,9;15371;9072;466236;24852;47214;28610;2158;409;143;1;46;1144;0;68,77
183;178;;9,27;28337;10432;138352;3264;9887;43564;1012;217;285;1;28;716;138;73,43
184;179;;12,06;9926;1279;259111;12444;7319;18139;1617;355;111;1;41;0;0;74,50
185;180;;13,3;26386;11560;34470;3470;34851;34257;1023;0;5;0;6;2038;0;73,27
186;181;;9,57;2744;24688;475309;24383;46382;123383;2173;199;30;1;45;4799;4323;86,90
187;182;;15,11;9523;25044;769924;4140;5551;38161;1663;944;37;1;48;4195;0;78,12
188;183;;16,52;15226;10255;180435;3754;11383;5115;134;570;2016;926;945;4312;0;45,07
189;184;A;6,38;4894;0;168575;5925;5200;3336;2186;1572;851;171;90;0;0;75,48
190;184;B;6,38;33335;6805;228126;19882;260933;9202;2170;1572;851;171;90;0;0;
191;184;C;6,38;12486;540;438428;24237;75146;7482,5;4242;1572;851;171;90;0;0;70,09
192;185;A;5,57;2862;7815;189143;4243;3195;2320;678;2394;979;604;87;1047;746;
193;185;B;8,94;1807;0;136284;7931;15601;4596;678;2394;979;604;87;0;0;
194;185;C;9,81;32152;2977;478615;24144;52415;10239,5;678;2394;979;604;87;221;0;
195;186;A;10,69;0;15634;64109;3253;4690;1847;1965;1979;1631;25;445;747;0;
196;186;B;12,8;7655;3772;153255;5990;115;9678;1965;1979;1631;25;445;1258;0;
197;186;C;6,06;25376;6504;104444;18179;258557;10278;1965;1979;1631;25;445;0;0;
198;187;;9,61;2049;5695;380568;13253;3015;11653;1755;556;868;1;47;697;0;66,30
199;188;;10,53;8677;380;126734;2199;4671;3203;467;0;95;0;9;728;0;68,13
200;189;;12,09;21639;8191;175257;3751;5612;15153;1035;116;128;39;26;659;0;
201;190;;13,45;37632;19591;255978;14428;90478;46923;1034;58;56;0;22;995;6137;75,42
202;191;;9,26;24946;10200;520987;22765;26704;22135;430;551;1409;762;53;1115;0;72,05
203;192;A;5,57;30359;1389;330335;22570;176274;6975;482;1691;1050;166;64;0;0;
204;192;B;5,57;15695;5760;274200;20472;134822;6334,5;482;1691;1050;166;64;3824;0;
205;193;;8,94;31981;24560;572846;26053;43895;14511;2281;967;1763;2;95;2323;0;58,55
206;194;;9,81;23126;21860;209246;6784;3711;6094;264;492;800;235;23;597;10007;79,82
207;195;;10,69;13259;10689;321238;9212;14656;16946;1639;1817;335;1;72;1110;0;
208;196;;12,8;1510;6837;377745;6551;3714;57427;1098;133;18;0;24;2447;0;79,81
209;197;;6,06;6859;29717;478087;21310;13028;8709;1402;1651;593;1;68;80;10024;68,52
210;198;;9,98;8828;17198;222875;4313;3296;13263;1013;269;860;1;36;1319;0;82,51
211;199;;6,4;27245;4804;560871;28342;11318;19198;1739;1730;933;1;83;1181;0;57,80
212;200;;7,56;17352;4951;852754;36250;9300;23397;2832;3007;924;212;126;1068;0;63,51
213;201;;8,57;11993;22643;630115;19806;5483;14883;2676;1792;716;214;447;1563;0;70,82
214;202;;9,38;10915;2227;269720;4779;5541;6995;622;1326;774;1;51;2128;0;
215;203;;10,06;46458;3710;325740;12938;3443;14151;1573;1953;588;227;82;53;0;
216;204;;3,92;66951;20903;776151;37905;80451;39403;565;2557;3989;862;752;1754;0;56,33
217;205;;4,62;27792;16470;352074;14471;16604;13802;492;1109;1686;80;234;1710;0;45,96
218;206;;5,99;6760;1005;324037;6636;2600;10036;622;510;916;597;281;40;0;71,06
219;207;;5,28;57568;24287;787139;41528;41998;46146;2341;2010;3664;627;151;502;1732;67,23
220;208;;6,68;15297;25110;334453;8980;24484;8170;743;509;804;651;337;4572;0;43,30
221;209;A;3,82;66401;17943;467366;55203;41110;22329;512;1410;4660;2045;348;1323;2447;55,42
222;209;B;6,54;46005;6133;366367;33626;30974;14683;512;1410;4260;1858;348;739;0;
223;209;C;6,75;22309;673;69395;63212;32831;17704;512;1410;4415;1858;348;634;0;52,60
224;210;;4,45;3305;3685;137201;3776;40834;2132;535;557;287;542;208;247;0;
225;211;;4,9;28790;28499;445668;25555;41923;23498;0;773;2009;942;488;3269;207;37,42
226;212;;5,84;17780;46863;491138;16870;14465;15558;1724;752;1621;551;364;6613;9187;47,61
227;213;;6,97;14776;9916;251413;4668;5391;24570;450;1155;1292;294;282;1210;0;
228;214;;6,97;18747;18421;285384;11109;12542;20322;123;1358;1645;584;62;4260;0;62,42
229;215;;3,69;21766;5687;110705;54327;23633;15030;44;717;697;531;27;0;0;49,63
230;216;;4,22;1096;3578;98606;1194;1769;1005;0;418;409;466;287;245;0;
231;217;;5,36;11621;29618;259637;7784;15919;16745;239;293;1661;410;48;2742;1462;
232;218;;6,18;15463;24662;265255;6522;5527;7602;918;1330;955;511;417;3297;18340;
233;219;;6,98;3735;11161;147626;311;2786;1187;0;522;1246;1051;308;1918;0;
234;220;;4,81;9401;38218;65010;122672;45413;22433;0;300;57;533;183;0;0;
235;221;;3,82;3734;1796;227847;29067;18496;515;84;356;516;482;476;495;0;
236;222;;6,54;6259;5957;243628;5079;4388;7234;835;1350;761;1;48;957;0;57,81
237;223;;6,75;18497;1569;113386;3928;12485;8567;155;292;6;0;8;150;0;49,41
238;224;;8,73;4479;2372;186521;15135;848;3833;448;18;11;349;15;474;0;
239;225;;11,44;4744;21970;456845;16943;3975;25479;2431;96;33;1;44;2883;0;73,34
240;226;;7,9;16562;1189;156171;3594;1423;7584;620;135;581;0;23;51;0;70,85
241;227;;8,11;26800;16464;389535;9175;10144;16005;3464;1054;509;792;332;2700;0;71,42
242;228;;8,21;11311;14191;256283;4486;11336;6638;759;789;149;1;32;2265;0;
243;229;;7,78;8335;11852;109739;3445;4155;1397;248;592;306;94;20;1119;0;57,12
244;230;;8,56;8621;4231;240609;4545;3233;5880;625;535;834;138;240;1374;0;
245;231;;10,71;1833;4671;55388;12200;3410;10318;65;129;76;46;25;479;0;
246;232;;2,93;7533;398;95391;41100;5074;1339;0;230;767;121;394;0;0;30,51
247;233;;2,5;19864;15954;207432;40981;7267;3409;0;150;258;1142;31;2406;0;36,70
248;234;;1,9;23750;5912;122765;38481;6838;4004;0;247;853;588;34;987;0;
249;235;;1,18;21822;315;147036;24439;37014;2320;0;617;25;1687;118;0;0;54,41
250;236;;0,85;71554;35176;309600;61052;191378;5642;0;323;2516;2879;84;0;410;47,52
251;237;;0,45;68363;20257;94521;30379;242959;4407;1;130;739;72;19;0;748;
252;238;;0,95;63400;21379;197560;12242;106769;6734;154;491;485;908;42;0;7965;
253;239;;2,65;48067;4210;159755;49556;12338;5988;0;265;681;603;2021;2651;0;
254;240;;2,15;44594;1325;133237;38565;13182;7129;0;260;429;444;19;2110;0;42,45
255;241;;1,51;44678;26440;204482;50913;27149;9685;0;543;1683;1538;75;6197;3687;
256;242;;2,56;17947;31285;143424;19709;57309;5253;0;29;1128;305;332;2687;0;
257;243;;2,03;27435;16031;160679;14053;30016;5030;304;524;925;122;1345;5332;0;28,71
258;244;;1,37;55113;38201;269598;35914;64845;13890;29;1361;1479;534;69;1489;3717;
259;245;;0,84;81863;32076;342940;51602;253235;11109;0;325;1892;1329;59;3168;7223;56,85
260;246;;0;514215;17886;137939;83472;816611;44926;0;269;614;214;22;0;1956;
261;247;;2,61;77742;19710;111665;58007;61787;11042;390;241;270;148;17;311;0;
262;248;;2,06;36031;48916;160068;33444;36688;4910;0;497;734;496;249;0;15580;
263;249;;1,45;61037;45753;204585;34228;66534;3286;243;99;2833;1012;654;6432;38321;
264;250;;2,84;163935;14372;111075;151859;45715;9594;0;17;446;227;13;2621;0;
265;251;;2,25;90820;144550;444012;103119;89487;15367;120;398;1879;2703;499;4516;113406;43,41
266;252;;1,8;74431;199108;450464;55966;99250;17971;0;508;3029;1268;756;4147;88559;50,03
267;253;;1,27;35902;74427;176347;26102;116408;35426;0;996;774;532;453;3433;37461;44,35
268;254;;1,09;105497;31685;326537;75741;194235;13148;339;143;1321;1300;310;24;25113;123,21
269;255;;0,73;114331;57428;366469;68637;123915;16776;213;1293;1865;3087;411;3474;23093;47,65
270;256;;0,82;63266;63022;433796;44541;174975;18848;0;1811;2227;1568;601;1961;8806;57,81
271;257;;1,3;46519;4816;156854;48622;19422;6891;0;15;485;1520;34;0;0;55,39
272;258;;1,35;89550;34237;636741;123285;42617;21735;280;693;4092;4306;901;4910;9554;50,27
273;259;;1,6;60693;9390;451021;56522;41148;14722;0;1068;1994;1938;82;0;1817;40,92
274;260;;1,91;69817;8433;221836;56062;47606;12315;0;666;960;1840;935;1315;0;42,76
275;261;;1,8;72290;7509;113081;58246;20240;12945;67;328;741;263;25;1667;0;
276;262;;1,95;128435;24784;237919;106827;45029;15771;0;376;1181;1317;814;3019;0;49,03
277;263;;3,44;69333;11571;127346;101569;28509;17170;0;373;943;729;36;1288;0;
278;264;;3,79;9523;7396;60996;34519;157940;13072;0;216;446;128;14;873;2933;
279;265;;2,77;84106;17704;268598;146961;35460;11779;0;561;1020;259;1267;1473;0;34,06
280;266;;2,68;100124;30859;154012;136040;55657;14332;407;391;372;185;707;4346;0;40,61
281;267;;2,42;43744;4897;141322;59454;111023;11948;0;447;319;395;309;1723;0;39,10
282;268;;3,21;106065;3183;298694;221229;64419;21168;21;592;155;1365;1381;669;0;43,35
283;269;;3;36384;9416;162590;79626;30120;7616;0;23;685;827;253;795;0;
284;270;;3,98;27843;19100;159103;43815;10670;5452;0;287;552;1316;334;1216;0;19,10
285;271;;4;18121;0;81561;96934;13033;17879;0;283;136;747;20;0;0;
286;272;;3,67;43295;16509;130135;63050;27615;3561;0;42;246;882;1877;1916;0;
287;273;;3,66;154697;2846;54698;95653;23824;13696;0;327;648;0;17;777;0;
288;274;;3,73;76672;1201;146584;154398;31181;9663;0;80;804;1377;709;522;0;44,78
289;275;;1,17;24234;40142;194938;13986;43789;5440;444;2;1067;167;30;833;8783;
