id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
370;356;;9,44;2770;5919;166394;1399;2248;5118;0;79;569;1056;1576;832;0;
371;357;;5,18;5472;718;89813;1220;9676;1346;0;339;103;344;14;208;0;
372;358;;4,32;18211;3385;57960;38316;5812;22908;0;13;594;0;197;993;0;
373;359;;5,93;2104;3237;61356;2525;907;848;0;33;228;551;261;1199;0;
374;360;;6,7;3532;8990;135336;685;2579;1244;0;34;782;384;230;609;0;
375;361;;7,57;3501;7886;135319;453;1957;1144;0;303;476;278;250;2375;0;
376;362;;7,55;16745;16456;177246;5939;5385;2384;0;353;603;818;615;5168;0;
377;363;;8,75;5871;8787;136540;1396;6131;1514;21;157;568;677;411;519;0;
378;364;;8,73;4546;3873;132096;1705;1552;1309;0;237;939;106;882;257;0;
379;365;;9,7;2958;8060;158858;1089;5669;1264;0;173;349;1572;1253;1396;0;
380;366;;9,48;5281;3257;116823;5697;4690;1011;0;73;1431;810;996;500;0;
381;367;;10,13;1882;1878;115327;213;2719;992;0;387;1148;414;522;0;0;
382;368;;10,77;2987;4711;167962;401;1687;2082;0;414;1374;1080;350;1052;0;
383;369;;10,93;9400;7608;122263;59139;10189;11337;0;328;277;2078;544;2649;0;
384;370;;5,71;50119;344;48173;41917;10026;147561;0;22;264;375;568;0;0;
385;371;;16,77;9098;8865;347782;15042;13854;6049;291;403;3212;1002;996;1503;0;
386;372;;16,16;14897;2227;167938;12074;3574;1741;0;39;402;768;63;1912;0;31,02
387;373;;16,1;4116;13371;185578;4200;1924;1589;91;145;1892;1981;1531;3205;0;
388;374;;16,7;6615;7926;386620;570;11082;1361;0;18;1866;2649;2094;3416;0;
389;375;;16,66;11362;6525;212095;6178;5183;2921;0;197;1481;1184;1461;2499;0;
390;376;;20,63;786;24905;539667;20637;3055;2199;0;91;2254;5101;6803;4822;0;33,01
391;377;;17,53;154754;46979;200492;15736;94567;20307;0;448;637;305;412;10742;2570;33,05
392;378;;17,62;11537;21363;406523;24507;21582;41006;0;911;2410;2627;3104;3536;0;
393;379;;18,43;16501;32187;132152;9257;8428;1477;140;659;17;79;234;7230;1892;
394;380;;19,04;8977;10025;155077;5991;5247;3215;512;790;549;85;285;2000;0;
395;381;;18,98;1275;3422;194072;20620;4745;7435;0;248;1992;2009;256;2322;0;30,36
396;382;;20,05;4257;7569;128754;48616;7237;3269;0;474;510;607;29;3183;0;
397;383;A;15,95;602;240;6555;199790;20528;115892;0;415;706;1849;1049;111;0;
398;383;B;15,95;2096;0;1900;301260;40052;111604;0;415;706;1849;1049;0;0;
399;383;C;15,95;12776;7257;240810;450177;47085;117178;0;415;706;1849;2228;1550;0;27,01
400;384;;5,45;13865;13542;172326;416515;68750;52337;368;989;552;218;41;774;1234;
401;385;;6,11;30411;13541;162746;293456;50094;23850;0;415;886;445;282;491;0;40,30
402;386;;6,57;3777;9379;190808;6670;7675;6438;0;366;707;1577;712;1311;200;32,79
403;387;;7,39;5305;7468;204574;2265;5171;550;0;615;1654;250;1037;1669;0;
404;388;;6,57;4537;6464;127533;86512;21732;4381;225;301;493;1127;330;962;0;45,98
405;389;;7,7;8057;10537;374774;5979;11829;5478;1164;608;1340;539;65;1883;0;38,11
406;390;;6,56;1030;112948;73335;37969;6095;10115;0;38;320;902;20;0;21788;42,62
407;391;;7,43;9201;1844;186488;4089;7431;832;67;681;1569;683;341;1110;0;
408;392;;7,96;2635;1688;106458;1264;3229;3481;83;387;307;988;35;178;0;
409;393;;8,64;28311;1157;199697;6253;4257;3703;509;383;1133;463;639;1181;0;43,78
410;394;;7,8;28652;13561;118382;39122;18698;8827;0;199;1255;302;557;2498;0;
411;395;;8,98;2207;6257;175719;540;5178;1394;0;650;1245;1178;311;1566;0;
412;396;;10,07;7543;5933;218971;33727;5999;4127;0;1008;1794;1001;1093;1234;0;
413;397;;8,81;7267;6620;119986;604;2258;5270;0;351;1072;675;1160;943;0;
414;398;;7,91;10689;4811;42037;1382;5446;1002;0;20;10;280;439;1537;0;
415;399;;8,82;5754;4723;136408;719;2427;527;89;491;1532;1537;993;2239;0;
416;400;;8,04;925;563;38622;202;1408;194;0;162;398;1;309;0;0;
417;401;;8,44;61791;0;0;0;1719;0;0;0;0;0;0;0;0;
418;402;;10,7;6837;5409;129983;1016;2766;1486;0;1041;904;742;1254;2094;0;
419;403;;9,48;54502;25345;278084;11202;27588;18562;526;475;1449;590;962;1847;621;38,67
420;404;;9,35;23417;2641;62403;35070;4221;6339;0;188;404;186;224;15;0;
421;405;;10,36;38628;34817;327549;4693;16990;18975;0;944;1852;1168;944;5553;6083;29,85
422;406;;10,75;4607;14033;274869;5244;6561;1526;166;639;1416;1203;1318;1906;0;
423;407;;11,18;1744;6943;179650;410;1736;30446;0;657;1165;1670;761;1280;0;
424;408;;11,9;1056;26090;93155;2226;5921;642;583;28;328;151;943;4375;0;36,02
425;409;;12,57;1469;13925;137309;3689;3327;2699;18;149;621;2305;831;640;146;
426;410;;10,52;4834;8392;219607;1643;2080;1127;0;254;1016;1192;1213;207;0;
427;411;A;12,06;12452;1180;452249;2378;6087;4700;1217;4133;3718;1221;1604;1250;0;
428;411;B;12,06;3458;9377;604736;1422;4072;2645;1217;4133;3734;1273;1604;2985;0;36,30
429;411;C;12,06;0;8558;650;0;0;0;1217;4133;3718;1221;1604;2525;0;
430;412;A;14,26;5400;8641;168499;2319;574;2695;0;303;352;287;16;834;0;33,86
431;412;B;14,26;0;0;80;0;27;25000;0;303;275;287;16;0;0;
432;412;;14,26;83;0;3376;0;60;1306;;;;;;;;
433;413;;11,67;3036;3801;64351;140;395;212;0;110;18;367;411;742;0;
434;414;;12,41;17989;9007;447985;3477;7461;5962;0;1411;3472;3149;1718;2907;0;
435;415;;12,65;27576;21250;435615;3440;8285;13670;238;1098;2705;1336;789;6526;0;
436;416;;14,34;2343;10658;327947;989;2354;826;0;159;2294;2175;1957;1541;0;
437;417;;15,12;3009;602;217228;498;452;239;233;732;447;290;32;456;0;
438;418;;17,58;4848;9275;244784;3187;4489;3958;0;274;1632;575;224;7913;0;
439;419;;18,81;81549;49295;884268;16259;23213;124676;0;1763;5289;7836;2214;9406;0;
440;420;A;19,55;1452;7836;543400;204;513;1857;0;1400;3385;3276;256;1049;5532;30,57
441;420;B;19,55;0;0;37096;0;0;0;0;1400;2999;3049;129;0;0;32,09
442;421;;19,17;5718;56710;228699;13405;8794;11087;0;107;1777;1739;1452;4155;0;21,09
443;422;;18,89;17050;23648;72964;1273;4050;16768;450;0;634;218;103;2320;14219;27,48
444;423;;19,56;1628;3626;197957;436;1073;112;0;434;1168;1332;1476;3369;0;17,80
445;424;;19,72;1099;4297;95796;832;199;241;0;33;740;431;511;2829;0;
446;425;;19,87;56121;10941;87129;10471;35881;22045;0;35;20;349;974;2319;0;
447;426;;20,37;4826;12003;126081;148886;22086;126152;95;211;534;952;397;4559;0;
448;427;;20,41;748;3155;89819;84;348;52;0;497;738;363;890;984;0;
449;428;;21,07;2091;2367;87450;2064;1201;1599;0;240;1593;461;40;45;0;
450;429;;21,1;607;3459;57740;157;2204;581;0;58;182;1289;27;875;0;
451;430;;20,96;7490;2800;166472;3872;1726;1504;0;678;1143;595;483;1045;0;
452;431;;21,19;6301;4746;53003;69287;7598;18723;0;361;282;293;17;1296;0;
453;432;A;22,2;7796;41888;1107324;1385;10980;32937;181;1604;6013;14677;8436;12381;0;23,23
454;432;B;22,2;1177;3618;303835;174;621;86;181;1604;6013;14478;8688;0;0;
455;432;C;22,2;0;0;0;56166;0;0;181;1604;6013;14478;8252;0;0;
456;433;;14,33;8;0;105392;25;40;9;0;4;76;337;7;0;0;
457;434;A;9,04;250;9308;74310;3602;1229;4655;0;20;321;2239;270;741;0;
458;434;B;14,91;7229;3580;122445;40870;4250;24621;0;20;321;2239;270;446;0;
459;435;;13,74;19549;6684;1276;349019;33655;230531;0;16;110;122;198;0;0;
460;436;A;24,89;1374;0;47199;29530;905;19477;731;913;1638;1992;1000;392;0;
461;436;B;24,89;5755;4253;26301;15373;3656;4113;731;913;1638;1992;1000;384;0;
462;436;C;24,89;8858;6910;382301;17540;3572;46194;731;913;1638;1992;1000;2200;0;
463;437;;8,27;14969;11846;111009;262237;110746;119853;0;325;371;240;82;1343;0;40,13
464;438;;9,98;2450;2451;323005;14997;7374;6947;0;581;2230;434;223;1808;0;39,06
465;439;;6,89;2672;3042;144215;3518;1570;19222;1313;195;45;0;28;77;0;59,90
466;440;;13,21;1499;0;31241;1363;3689;13800;61;121;71;43;24;0;0;
467;441;;3,45;6218;10346;144917;1968;3747;20398;0;675;595;158;1556;2217;0;
468;442;;18,62;0;2559;80981;3599;1845;11014;377;508;264;0;17;0;569;58,21
469;443;;15,97;990;3582;177440;2713;672;156605;0;234;260;388;121;163;0;43,69
470;444;;13,95;3040;326;554;456012;57500;232587;0;0;1;16;1;0;0;
471;445;;16,55;4053;16882;511718;200408;18072;118953;0;470;6226;6019;479;2422;0;32,56
472;446;;18,01;12017;9698;607804;2501;4713;7485;777;1153;3645;1000;122;3390;0;35,70
473;447;;17,11;11947;17198;294078;5108;13390;13670;0;63;1784;3462;1468;238;0;28,65
474;448;;17,5;16202;3891;1106804;389;2789;6231;0;1598;9307;7609;865;2767;0;28,40
475;449;;12,69;7306;7637;26312;221039;72708;382428;0;29;115;695;175;0;0;19,04
476;450;A;12,71;1464;0;1662;926175;136148;357807;0;3;13;79;19;0;0;
477;450;B;12,71;23450;856;3687;996929;144992;559448;0;3;13;79;19;0;0;
478;451;;25,56;11940;14524;299555;31954;10968;21586;0;370;865;1486;648;2587;0;
479;452;;20,44;93145;4990;83319;273964;21955;88598;0;178;383;707;23;909;0;
480;453;;10,95;10147;6019;638822;16524;2293;8311;403;1212;3230;562;70;1889;0;38,58
481;454;;3,09;5505;10392;160030;15975;9031;5943;0;42;846;543;353;3666;0;
482;455;;13,17;240;0;3985;71788;14462;30029;0;0;1;0;0;156;0;
483;456;;21;1105;0;4905;768;208;0;0;1;3;16;5;0;0;
484;457;;9,04;2324;4693;296263;61;1183;3084;0;447;2397;2257;1479;3085;0;
485;458;;14,91;17286;12935;231052;8427;3443;2393;114;1059;1346;618;59;983;0;
486;459;;16,46;81318;23500;138030;4435;66448;217451;147;310;675;458;31;119;0;
487;460;;16,16;2367;1059;327638;354;3964;2762;0;1084;1941;2953;238;305;0;
488;461;;17;6692;2358;456797;1381;602;56;0;1467;5393;3568;1258;2558;0;
489;462;;21,78;1757;9265;92789;4039;2684;2184;0;72;197;423;12;2509;0;
490;463;;21,95;3916;5648;255652;3364;2854;3157;0;460;2725;492;930;1307;0;41,11
491;464;;21,55;1322;6347;275008;523;2441;184;0;553;1248;1607;514;882;0;
492;465;;6,89;3602;7686;151415;6961;5546;3778;538;1220;322;225;42;294;0;46,70
493;466;;4,29;13097;10668;326938;12310;19493;11231;622;1078;1073;1;51;3025;550;67,16
494;467;A;3,45;81601;17386;352350;20131;289061;1932;1281;1323;1797;438;88;1498;6967;63,12
495;467;B;3,45;297;0;0;0;2626;0;1281;1323;1653;438;88;0;0;
496;468;;18,62;7607;4957;77157;6915;6533;1775;0;20;696;197;17;728;0;
497;469;;19,76;8461;2701;263284;21219;3174;23188;0;1069;2049;1227;981;1177;0;
498;470;;8,09;1009;2061;64881;502;2661;115;0;16;161;253;184;0;0;
499;471;;7,19;8230;1553;80772;16619;2899;4509;0;78;782;1179;38;610;0;
500;472;;5,88;18820;7498;78246;68477;7921;8080;0;31;1602;4;37;903;0;
501;473;;12,01;5308;0;365643;19227;10260;110409;1961;75;25;1;38;0;0;73,30
502;474;;17,52;0;434;252730;2966;38;1471;1808;65;24;1;31;0;0;74,63
503;475;;17,93;9233;7074;290941;3728;278;18787;1875;268;30;1;39;1821;0;71,01
504;476;;8,62;13916;10533;383784;48197;13580;29704;901;705;189;131;36;705;0;
505;477;;15,58;33886;31678;247771;13148;5078;11041;693;718;495;351;1043;4158;0;
506;478;;15,56;28775;40787;397313;13926;4704;34403;1199;582;267;81;36;2174;17261;79,31
507;479;;15,11;0;0;187104;35;0;2675;590;237;12;0;16;515;16319;80,35
508;480;;13,72;37346;81353;535298;5699;34542;49656;3278;272;339;1;68;3751;22345;52,08
509;481;;10,91;1495;4105;149204;1465;1772;3336;252;306;642;729;37;148;0;
510;482;A;12,46;1477;2412;396535;3646;805;40122;2282;143;153;310;55;800;0;
511;482;B;12,46;0;0;81354;2492;4713;21437;2282;143;153;310;55;0;0;
512;483;;10,84;3501;11872;198999;2103;1646;3079;0;1234;2805;963;93;1503;0;
513;484;;10,96;11583;11264;216770;1880;2818;12355;0;873;1996;1501;663;4973;0;
514;485;;13,08;16033;45207;141605;2287;7277;27690;993;239;17;0;22;585;0;55,11
515;486;;17,25;0;0;26857;19;0;1220;158;227;13;0;7;0;0;46,19
516;487;;17,49;1124;202;146416;501;207;1436;0;205;435;494;65;2206;0;29,61
517;488;A;16,19;6744;147;219968;55;321;4709;0;592;1399;244;40;1459;0;
518;488;B;16,19;0;0;34037;0;0;13;0;592;1411;244;40;0;0;36,89
519;489;;18,23;0;0;72526;0;0;644;0;0;941;279;43;690;0;31,09
520;490;;10,53;6806;2792;135814;7069;3845;785;0;610;746;389;376;713;0;
521;491;;10,66;31083;21423;285210;16635;11370;2726;0;421;1247;1122;2378;4229;0;
522;492;;6,83;1752;2379;114309;800;2276;1526;0;236;483;437;252;488;0;
523;493;;4,41;9546;916;57033;11249;9718;20635;0;210;424;166;17;36;0;
524;494;;2,96;9221;6488;72713;30521;23454;3661;0;5;347;355;161;658;0;42,87
525;495;;6,5;13992;0;3970;250;6525;54904;0;0;0;0;0;0;0;
526;496;;6,37;27966;15862;88129;83108;271757;59683;330;727;571;0;27;0;3765;41,76
527;497;;3,12;9612;3065;36555;37610;45408;2421;0;1;82;166;3;106;0;31,99
528;498;;3,25;3118;712;17650;9559;4276;1027;40;98;2;0;3;1014;0;
529;499;;14,17;20367;0;7845;65850;51590;447153;0;0;0;0;0;0;0;
530;500;;3,46;100662;0;1210;47456;47406;25831;0;0;0;20;0;0;2482;
531;501;;7,57;0;0;1585;102;2869;5217;0;11;23;12;4;0;377;
532;502;;8,47;8476;113;23093;1314;8694;31047;106;1;92;0;4;0;0;
533;503;;10,4;3073;288;55933;4030;2304;10446;0;268;4;0;5;0;0;
534;504;;8,62;5096;2670;13521;1440;59508;2956;25;29;8;0;0;0;0;
535;505;;15,04;5743;27089;285574;5613;5563;44943;224;69;27;12;19;0;0;87,04
536;506;;16,26;906;0;20537;287;0;3031;95;0;0;0;0;0;0;
537;507;;7,98;123444;1140;168532;8014;65411;54535;384;492;347;0;17;0;0;69,48
538;508;;11,31;125265;977;73949;10613;21530;32817;199;130;359;0;10;369;0;78,69
539;509;;10,62;2012;0;14358;242;25003;4441;48;20;0;0;0;0;0;
540;510;;8,2;0;10471;0;0;0;0;1;0;0;0;0;1997;0;
541;511;;7,72;6597;14154;59629;1840;484;8438;149;276;8;13;120;1850;0;
542;512;;9,7;0;0;93;708;566;82563;0;0;1;0;0;0;0;
543;513;;9,65;16211;0;1501;115143;25845;7704;0;1;0;0;0;0;0;
544;514;;3,08;23061;13818;90024;28071;12767;61243;0;27;88;1;1663;142;0;
545;515;;2,84;10472;13638;234;8214;25360;6943;0;0;3;0;0;0;6012;
546;516;;10,15;532;0;0;72;925;3277;0;0;2;5;2;0;0;
547;517;;10,96;49821;0;355;199;12710;72478;0;0;0;6;2;0;0;
548;518;;13,92;0;0;3588;0;111;0;2;14;54;49;116;0;0;
549;519;;7,41;3926;0;21251;48741;32657;5179;17;30;64;62;42;0;32267;
550;520;;8,38;467;12229;63387;241;6;111;0;140;417;166;14;12;0;
551;521;;9,05;0;328;90781;375;4;6322;0;293;371;33;22;0;0;48,00
552;522;;9,93;0;0;0;2476;0;0;0;0;0;0;0;0;0;
553;523;;8,86;130837;479;21800;20332;6917;28379;0;68;357;2;8;2493;0;
554;524;;16,66;0;0;38249;187;3390;498;0;9;610;296;16;704;0;
555;525;;9,85;0;0;3644;35;82;163;0;0;50;0;0;0;0;43,40
556;526;;9,31;8156;5860;322890;258507;32080;182126;378;453;1199;481;596;1490;0;34,78
557;527;;11,56;40;10516;45137;859;2963;6768;226;25;29;0;5;0;0;66,53
558;528;;10,53;4354;7349;446563;32057;10379;37694;726;720;3645;2749;430;5996;0;40,48
559;529;;9,03;6388;643;232701;26768;9775;10020;0;666;1615;1464;543;1245;0;
560;530;;8,18;13589;1342;111473;21944;2679;13755;54;380;526;445;149;421;0;
561;531;;9,44;2098;6358;359467;165;1842;6216;0;825;3385;2195;1090;5422;0;
562;532;;10,54;317;0;150799;0;605;3851;0;29;268;677;897;0;0;
563;533;;8,38;2276;1247;116827;511;956;1512;94;404;839;1055;30;420;0;35,85
564;534;;3,46;6553;15510;103959;99783;18674;53320;0;7;10;747;146;947;0;25,53
565;535;;9,77;24747;23916;569957;6506;11689;27574;2030;221;1110;1;63;4258;0;78,57
566;536;;9,15;3317;4774;131978;2090;1287;2462;0;378;221;0;11;24;0;46,95
567;537;;10,57;40974;32093;279149;8266;11162;67643;0;836;2039;2033;1014;2084;0;
568;538;;6,97;5134;8576;134949;32683;22646;9670;415;500;748;182;100;1712;0;37,72
569;539;;7,74;3649;8293;191153;4900;5224;1920;65;952;856;455;373;1094;0;
570;540;;8,2;2471;8420;83886;957;1552;1067;0;143;770;138;149;665;0;
571;541;;8,65;1929;15938;122970;12196;16039;15751;111;149;1105;433;479;1579;0;41,45
572;542;;9,78;158956;5157;109495;4434;37360;44602;0;266;673;202;201;0;10767;43,04
573;543;;9,7;3194;0;19371;223;7441;300;43;92;3;84;4;0;0;
574;544;;10,56;7535;2147;82740;2114;17486;2026;0;929;1004;275;251;277;0;37,99
575;545;;11,39;1693;1581;112654;572;1444;334;0;231;802;539;29;1512;0;
576;546;;11,57;10707;12347;130987;1949;2957;5120;0;936;1775;262;413;2196;0;
577;547;;12,05;12861;7400;80412;2158;3093;4922;0;490;164;68;179;1660;0;30,71
578;548;;12,5;12466;5418;146050;2132;2423;2538;0;618;476;377;223;1244;0;40,40
579;549;;13,09;39501;6576;164071;19908;9586;25592;0;945;522;526;441;387;0;
580;550;;13,54;16332;31301;224833;2686;3506;5423;255;116;996;224;248;1800;0;
581;551;;14,18;6567;1868;203145;3909;7102;927;127;1001;1153;291;350;415;0;
582;552;;14,6;5993;5970;302406;2947;517;807;0;1164;2768;2194;857;1968;0;28,57
583;553;;14,96;6044;11304;68515;2896;5022;1092;0;302;195;4;9;1808;0;
584;554;;15,33;9430;17734;118248;889;5553;3839;0;260;1761;1028;525;3839;0;
585;555;;15,54;2800;3656;191174;407;2897;40;0;236;2073;995;124;1011;0;
586;556;;15,84;1044;3943;140078;249;374;271;0;527;867;584;670;1387;0;
587;557;;9,05;6638;9826;214780;17410;34087;5017;32;1299;1483;380;60;3771;0;
588;558;;10,17;3199;0;131283;0;771;8822;514;327;421;667;450;0;0;
589;559;;10,89;12453;2901;783587;1015;1380;16134;2000;2942;1200;609;727;3070;138;54,50
590;560;;10,99;2766;17082;176992;240;16609;106576;175;265;492;61;35;2706;0;54,43
591;561;;11,62;650;3222;279908;830;2716;6959;483;754;105;208;27;1546;0;47,66
592;562;A;15,65;6346;20390;551581;4123;11177;4734;0;382;2500;5416;1105;7209;0;
593;562;B;15,65;1470;299;34698;230;9;761;0;382;2500;5416;1105;232;0;
594;563;;3,45;5057;148256;198083;24908;45148;2944;0;371;1189;1024;1019;0;41190;
595;564;;16,88;12119;41792;355883;35538;19835;10529;0;335;2314;3935;2847;7254;0;
596;565;;17,61;2044;5498;7308;21541;3005;4005;1;13;80;126;102;2662;0;
597;565;;17,61;;;;;;;0;0;0;0;0;0;0;
598;567;;13,24;9210;16153;553899;3632;3218;3220;0;646;2228;4398;4701;763;0;
599;568;;11;7053;15686;233227;19074;10156;2725;0;155;2107;2403;1145;2319;0;
600;569;;10,32;35638;12237;205681;3592;18313;38101;1285;285;22;1;32;3321;0;60,65
601;570;;9,63;22719;17361;252054;6514;5572;29315;0;837;2072;1748;831;4100;0;
602;571;;11,06;7317;14061;142572;2947;5602;6357;0;468;810;477;31;2977;0;
603;572;;11,52;4346;8449;378000;4829;8714;7908;36;1016;2020;647;858;4657;0;34,02
604;573;A;7,98;4686;822;319880;44816;2990;41700;0;1097;3208;1676;1392;830;0;27,02
605;573;B;8,48;926;3144;222656;80438;9534;41592;0;1097;3224;1938;2106;1156;0;35,49
606;573;C;10,93;331;0;5364;24;41;0;0;1097;3208;1668;1392;0;0;
607;574;;20,43;13464;4533;119597;5029;3890;3571;0;41;923;329;876;1544;0;
608;575;;19,71;56073;32997;190359;27308;22577;10255;0;361;725;706;777;10540;0;
609;576;;13,06;6874;15220;258872;6490;6556;2506;0;966;1136;1494;983;7731;0;
610;577;A;7,94;26546;6773;574242;28007;137375;11469,5;2646;4359;1833;457;324;38;886;61,13
611;577;B;7,94;74015;4378;535190;33980;34998;9054;2686;4310;1833;457;324;436;630;59,83
612;578;;9,2;8822;13072;199267;15282;4273;1183;0;313;896;956;1008;2731;0;
613;579;;9,07;11904;10434;116911;40923;7509;1407;0;25;838;265;171;2114;0;
614;580;;11,21;7632;3305;700;346951;26663;225713;0;0;5;5;0;352;0;
615;581;;23,26;1470;482;113997;14760;1775;28158;0;32;62;647;185;883;0;
616;582;;23,38;467;0;90553;703;1744;19397;789;13;200;267;23;1271;0;48,38
617;583;;19,67;6606;3095;214309;10168;6299;38887;364;897;657;1470;370;973;0;
618;584;;21,02;1297;0;30783;206;144;4081;407;30;402;373;332;202;0;
619;585;;18,33;7129;19449;264358;652;711;17084;2864;2;492;172;199;1485;0;58,27
620;586;;16,62;5546;104;95545;330;799;12951;177;183;39;0;5;0;0;
621;587;;14;111;0;45907;471;795;1852;500;50;40;0;8;0;0;55,56
622;588;;4,67;140;0;41640;841;55;3746;0;0;0;215;99;0;0;
623;589;;29,89;1108;0;24278;273;0;781;134;19;13;252;71;177;0;0,34
624;590;;34,86;11762;17909;243475;2382;5471;5726;0;36;1807;3375;2981;6790;0;20,65
625;591;;27,13;43833;27329;793366;4865;51297;27660;0;531;3320;6793;3837;19768;0;28,45
626;592;;11,92;9551;6595;213236;24921;5415;2128;0;423;825;1083;824;516;0;
627;593;;12,5;37422;13620;217473;69478;17743;34091;269;179;1355;856;1267;6056;2316;23,24
628;594;;11,06;10970;310;241584;11531;5068;3021;48;300;1202;645;774;1583;0;27,10
629;595;;13,84;13301;31875;372846;2524;12613;4004;0;784;2538;1087;1216;8191;0;
630;596;;5,53;15766;8443;291998;8683;7349;4354;0;680;1697;413;265;2854;0;
631;597;;5,67;9691;7128;237784;942;13369;7077;0;801;1753;1964;1113;1593;0;27,98
632;598;;7,55;18403;8673;361413;8705;11527;3035;0;419;1577;2070;2286;2978;0;
633;599;;7,6;18368;10402;305811;6630;8975;4262;0;375;901;1877;1980;2004;0;
634;600;;7,47;29007;10152;340041;35455;5074;8131;0;493;884;3039;802;3010;0;
635;601;;12,87;702;11404;635703;227820;5266;3588;0;427;2220;5566;3530;9726;0;27,00
636;602;;11,37;14627;35957;280527;2635;7175;16715;0;1237;5044;2117;799;10632;1299;25,34
637;603;A;10,32;25019;7558;368566;22280;13417;23528;0;662;3240;1396;1701;7079;0;
638;603;B;10,32;417;0;1176;39883;5917;20988;0;662;3240;1396;1701;1201;0;
639;603;C;10,32;0;0;48;9022;1607;31321;0;662;3240;1396;1701;0;0;
640;604;;7,98;0;3578;32756;0;0;920;0;17;95;232;427;393;0;
641;605;;8,48;10599;8248;151379;88632;17807;57375;0;320;383;1489;1168;2886;0;
642;606;;10,93;160115;4019;312;307995;37476;509456;0;0;103;0;2;0;7234;
643;607;;9,97;32390,5;20479;780770;225;6748,5;201189;0;2767;5739;2481;1226;7445;0;20,65
644;608;;12,95;13336;20201;942608;1682;5104;3515;0;1770;3625;3927;3163;5534;0;36,54
645;609;A;10,23;98244,5;232;4685;500;3980,5;92000;0;299;165;0;155;0;0;
646;609;B;10,23;22400;338;44227;4;3327;13158;0;299;165;0;155;0;0;
647;610;;5,01;10909;3713;536402;27221;21340;5638;1218;967;281;364;55;0;1588;
648;611;;15,96;2026;562;488723;3742;1890;32793;1207;180;21;0;26;0;0;
649;612;;13,69;2529;6063;364481;3261;399;25978;1738;625;32;1;41;1197;0;79,63
650;613;;15,35;126579;15808;409139;19631;43373;126631;2321;1033;218;7;170;2465;1034;64,45
651;614;;11,18;0;65;317;393234;28152;97452;0;5;17;99;26;0;0;
652;615;;17,58;5942;18967;663774;753;1994;4677;0;1191;12027;3799;713;4852;0;32,89
653;616;;17,39;5503;5673;500780;1399;2503;5388;0;343;2981;2887;4300;5282;0;
654;617;A;13,73;2292;20337;434628;898;5407;757;0;221;1671;5359;2434;9153;0;
655;617;B;13,73;0;0;0;388;0;1690;0;221;1671;5359;2054;1626;0;
656;617;C;13,73;5423;12247;25252;11336;5569;1898;0;221;1671;5359;2324;3707;0;19,40
657;618;;14,43;0;39362;2931;526;5696;0;1;8;49;77;62;803;4785;
658;619;;6,5;12933;3686;457066;22144;5407;15714;1538;930;303;1;53;900;0;
659;620;;6,04;26429;243;110023;7271;42359;10522;341;128;53;73;12;0;0;
660;621;;14,37;6447;334;142039;599;0;14038;295;94;6;0;7;0;0;
661;622;A;4,67;13163;0;7307;967;22888;960;81;22;44;15;2;0;0;
662;622;B;4,67;26771;1567;16659;1822;69473;370;81;22;44;15;2;1158;0;
663;623;A;47,73;17179;0;28013;8446;266230;827;1496;691;276;114;49;0;0;
664;623;B;57,14;83182;1963;444639;47987;285899;13523;1496;691;276;114;49;0;0;
665;624;;5,23;0;0;0;193;3925;1752;0;0;0;0;0;0;0;
666;625;;16,39;86;56;45561;40;194;775;0;106;617;138;244;0;0;41,34
667;626;;18,15;1083;0;274812;16370;1708;5125;0;1021;694;937;294;929;0;39,07
668;627;;19,71;;;;;;;0;0;226;0;0;0;0;35,89
669;628;;24,02;;;;;;;0;1;0;1;1;0;0;
670;629;;24,43;;;;;;;0;3;0;3;6;0;0;
671;630;;20,32;5598;823;6361;8099;2970;45500;0;0;0;0;0;0;0;
672;631;;19,62;293;0;0;10278;5611;44271;0;0;0;0;0;0;0;
673;632;;13,84;2555;0;352;23278;10045;96807;0;0;0;9;0;0;0;
674;633;;16,81;0;1135;13208;0;4;0;0;0;0;3;1;500;0;
675;634;;16,71;1100;1456;226;213946;16289;96716;0;0;0;1;0;0;0;
676;635;;42,18;1739;1771;39468;45666;5887;6348;0;3;216;70;61;710;0;
677;636;;20,14;316;515;11092;4442;439;1092;0;1;2;10;9;0;0;
678;637;;17,21;0;0;22464;0;0;0;0;0;0;300;300;0;0;26,35
679;638;;16,27;2788;4354;177922;0;1057;0;0;0;3315;401;188;581;0;31,37
680;639;;18,65;1766;0;27002;497887;48799;179885;0;16;215;219;211;0;0;33,42
681;640;;19,18;561;1207;46777;24239;1663;4386;0;15;39;115;133;0;0;
682;641;;26,37;1455;6506;184131;0;0;9;0;0;1545;1527;586;1416;0;30,34
683;642;;23,95;2114;6426;80204;91424;10572;22749;95;9;16;453;92;308;0;33,45
684;643;;16,39;0;0;0;42319;2899;20762;0;13;1;14;24;0;0;
685;644;;21,96;;;;;;;0;1;0;1;1;0;0;
686;645;;25,44;0;0;0;1297;105;99;0;0;0;0;0;0;0;
687;646;;23,22;83;0;7210;53;0;428;0;6;14;39;48;538;0;
688;647;;27,95;6294;18682;124025;8958;3955;39685;0;373;255;0;4;0;0;48,67
